"County, State",County Name,State,# per 100K,Calc Positive Severe Depression,Calc Total Depression Responses
"Weston, Wyoming",Weston,Wyoming,18.01152738,5,19
"Washakie, Wyoming",Washakie,Wyoming,38.4319754,12,34
"Uinta, Wyoming",Uinta,Wyoming,21.46659797,5,20
"Teton, Wyoming",Teton,Wyoming,24.27505848,22,105
"Sweetwater, Wyoming",Sweetwater,Wyoming,50.50024953,85,242
"Summit, Wyoming",Summit,Wyoming,35.46338827,21,68
"Sublette, Wyoming",Sublette,Wyoming,39.76820816,14,36
"Sheridan, Wyoming",Sheridan,Wyoming,38.52080123,48,149
"Platte, Wyoming",Platte,Wyoming,28.54207101,10,23
"Park, Wyoming",Park,Wyoming,38.11099218,47,146
"Natrona, Wyoming",Natrona,Wyoming,42.15108964,134,357
"Lincoln, Wyoming",Lincoln,Wyoming,26.87071348,21,63
"Laramie, Wyoming",Laramie,Wyoming,49.33423696,198,722
"Johnson, Wyoming",Johnson,Wyoming,35.47776727,12,27
"Hot Springs, Wyoming",Hot Springs,Wyoming,37.97743056,7,18
"Goshen, Wyoming",Goshen,Wyoming,41.91616767,21,56
"Fremont, Wyoming",Fremont,Wyoming,35.53479872,56,182
"Crook, Wyoming",Crook,Wyoming,24.18463239,7,27
"Converse, Wyoming",Converse,Wyoming,18.20299985,10,47
"Carbon, Wyoming",Carbon,Wyoming,43.18087605,25,74
"Campbell, Wyoming",Campbell,Wyoming,27.66958262,52,197
"Big Horn, Wyoming",Big Horn,Wyoming,39.66854725,18,56
"Albany, Wyoming",Albany,Wyoming,50.12028869,75,242
"Wood, Wisconsin",Wood,Wisconsin,36.2715486,110,344
"Winnebago, Wisconsin",Winnebago,Wisconsin,33.45421456,200,696
"Waushara, Wisconsin",Waushara,Wisconsin,32.32270994,40,115
"Waupaca, Wisconsin",Waupaca,Wisconsin,30.30686835,67,187
"Waukesha, Wisconsin",Waukesha,Wisconsin,31.95139992,527,1828
"Washington, Wisconsin",Washington,Wisconsin,33.01786978,181,546
"Washburn, Wisconsin",Washburn,Wisconsin,42.4983549,31,70
"Walworth, Wisconsin",Walworth,Wisconsin,32.64316359,140,451
"Vilas, Wisconsin",Vilas,Wisconsin,30.97533589,32,116
"Vernon, Wisconsin",Vernon,Wisconsin,17.80626781,21,85
"Trempealeau, Wisconsin",Trempealeau,Wisconsin,23.62874516,30,99
"Taylor, Wisconsin",Taylor,Wisconsin,34.19279672,27,72
"St. Croix, Wisconsin",St. Croix,Wisconsin,34.69670994,119,402
"Sheboygan, Wisconsin",Sheboygan,Wisconsin,49.03167744,231,1151
"Shawano, Wisconsin",Shawano,Wisconsin,23.77144833,44,151
"Sawyer, Wisconsin",Sawyer,Wisconsin,25.4446111,19,58
"Sauk, Wisconsin",Sauk,Wisconsin,35.87360015,92,246
"Rusk, Wisconsin",Rusk,Wisconsin,24.80568877,12,38
